iter	RMSE
0	0.5878035926
1	0.5521567116
2	0.5205645944
3	0.4930411083
4	0.4678457185
5	0.4465602158
6	0.426380136
7	0.4077279576
8	0.3919178194
9	0.3790191164
10	0.3661682284
11	0.3541063891
12	0.3439035944
13	0.3349947814
14	0.3270239948
15	0.3187172125
16	0.3116211884
17	0.3064141402
18	0.3000130104
19	0.294280717
20	0.287979161
21	0.283433555
22	0.2798937172
23	0.2762451192
24	0.2720758819
25	0.2687119978
26	0.2648895568
27	0.2613902819
28	0.2585279883
29	0.2560971478
30	0.2533962521
31	0.251047957
32	0.2491071411
33	0.2465977517
34	0.24384675
35	0.2412757703
36	0.2400337437
37	0.2383432625
38	0.2367772419
39	0.2351501266
40	0.2336083086
41	0.2323329032
42	0.2304763106
43	0.2284771546
44	0.2273299199
45	0.2256358109
46	0.2241670019
47	0.2223225989
48	0.2209304032
49	0.2199213
50	0.2187680415
51	0.2173027078
52	0.2157713759
53	0.2147677761
54	0.2131623096
55	0.2125225497
56	0.2112638742
57	0.2100828995
58	0.209395415
59	0.2087444632
60	0.2076702441
61	0.2067691145
62	0.2057484081
63	0.2043697291
64	0.2034945024
65	0.2028526892
66	0.2013161627
67	0.2006212767
68	0.1996341887
69	0.1986365151
70	0.1979298788
71	0.1972099058
72	0.1965418881
73	0.1947791403
74	0.194264804
75	0.1929836344
76	0.1920013456
77	0.1913209203
78	0.1904083419
79	0.1895785958
80	0.1887278651
81	0.1880148984
82	0.1872061499
83	0.1864341294
84	0.1855540799
85	0.1844795626
86	0.1837657515
87	0.183131419
88	0.18278579
89	0.1820665602
90	0.1811427209
91	0.1802565904
92	0.1795482004
93	0.1784309464
94	0.1777949337
95	0.1771068932
96	0.1763223422
97	0.1760160109
98	0.175213843
99	0.1745186996
100	0.1731240856
101	0.1724248473
102	0.1719038703
103	0.1712562364
104	0.1706490088
105	0.170191447
106	0.169511223
107	0.1687620269
108	0.1680757179
109	0.1674434666
110	0.1669869213
111	0.1662159223
112	0.1656903099
113	0.1650693091
114	0.1646779618
115	0.1642571523
116	0.1634168144
117	0.1630190546
118	0.1627459059
119	0.1624529217
120	0.1620363984
121	0.161308369
122	0.1604986984
123	0.1597237005
124	0.1592230587
125	0.1589641733
126	0.1581569382
127	0.1576559947
128	0.1574688467
129	0.1564209
130	0.1556107112
131	0.1549064364
132	0.1544203267
133	0.1538932256
134	0.1534970506
135	0.1527942567
136	0.152340685
137	0.1518078121
138	0.1509359229
139	0.150399617
140	0.1500106829
141	0.1495847284
142	0.1492154095
143	0.1486164157
144	0.1481441906
145	0.1477641687
146	0.1473197252
147	0.1469729096
148	0.14657342
149	0.1462355636
150	0.1456902353
151	0.1451666431
152	0.1444913561
153	0.1436974204
154	0.1430183652
155	0.1422163073
156	0.1413287599
157	0.141027908
158	0.1405389726
159	0.1401619836
160	0.1399887858
161	0.1397003454
162	0.1390672408
163	0.1388290262
164	0.138452457
165	0.1381306475
166	0.1375748895
167	0.1370432257
168	0.1366167596
169	0.1362465925
170	0.1357438435
171	0.135379607
172	0.1348539133
173	0.1345407606
174	0.134080788
175	0.1336728974
176	0.1332111733
177	0.1326112946
178	0.1322568273
179	0.131736985
180	0.1313689506
181	0.1311718999
182	0.1309158634
183	0.1305655942
184	0.1304357849
185	0.1301408291
186	0.1296135534
187	0.1290662751
188	0.128743358
189	0.1285652693
190	0.1280599699
191	0.1276504829
192	0.127050598
193	0.1267436217
194	0.126072042
195	0.1255965431
196	0.1253298954
197	0.1250105176
198	0.1245609625
199	0.1242234014
200	0.1238609152
201	0.1236548636
202	0.1234138965
203	0.1229557768
204	0.1225643893
205	0.122044215
206	0.1217525612
207	0.1211951427
208	0.1209140386
209	0.120592056
210	0.1201307667
211	0.1197775457
212	0.119383976
213	0.1188566653
214	0.1186881056
215	0.1182202827
216	0.1179211452
217	0.1175510304
218	0.1173081566
219	0.1171178842
220	0.1167305284
221	0.1164373117
222	0.1161486537
223	0.1157546542
224	0.115490999
225	0.1151133259
226	0.1147890574
227	0.1142828866
228	0.1141139115
229	0.1137108261
230	0.113331189
231	0.1128522863
232	0.1122656743
233	0.1119113513
234	0.1115929776
235	0.1111418277
236	0.1107914623
237	0.1106584112
238	0.1102881638
239	0.1100553709
240	0.1097142795
241	0.109301143
242	0.1090406099
243	0.1086995686
244	0.10851731
245	0.1083847188
246	0.1080634918
247	0.1076207873
248	0.1073632337
249	0.1071108441
