iter	Passed	Remaining
0	2	618
1	3	453
2	4	399
3	6	377
4	9	467
5	10	437
6	11	416
7	13	405
8	14	394
9	16	384
10	17	375
11	18	369
12	19	363
13	21	356
14	22	353
15	24	351
16	25	347
17	26	343
18	27	339
19	29	334
20	30	332
21	31	329
22	33	326
23	34	324
24	35	322
25	37	319
26	38	317
27	39	315
28	41	313
29	42	311
30	43	308
31	44	306
32	46	304
33	47	303
34	49	301
35	50	299
36	51	297
37	52	295
38	54	293
39	55	292
40	56	290
41	58	288
42	59	286
43	60	284
44	62	285
45	63	283
46	65	281
47	66	280
48	67	278
49	69	276
50	70	274
51	71	273
52	73	271
53	74	270
54	75	268
55	76	266
56	78	264
57	79	263
58	80	262
59	82	260
60	83	258
61	84	257
62	86	255
63	87	254
64	88	253
65	90	251
66	91	250
67	92	248
68	94	246
69	95	245
70	96	243
71	98	242
72	99	241
73	100	239
74	102	238
75	103	237
76	104	235
77	106	234
78	107	233
79	108	231
80	110	229
81	111	228
82	112	227
83	114	226
84	115	224
85	116	222
86	118	221
87	119	219
88	120	218
89	122	216
90	123	215
91	124	213
92	125	212
93	127	210
94	128	209
95	129	208
96	131	206
97	132	205
98	133	203
99	135	202
100	136	201
101	137	199
102	139	198
103	140	197
104	141	195
105	142	194
106	144	192
107	145	191
108	146	190
109	148	188
110	149	187
111	150	185
112	152	184
113	153	182
114	154	181
115	155	180
116	157	178
117	158	177
118	159	175
119	161	174
120	162	173
121	163	172
122	165	170
123	166	169
124	167	167
125	169	166
126	170	165
127	171	163
128	172	162
129	174	160
130	175	159
131	176	158
132	178	156
133	179	155
134	180	154
135	182	152
136	183	151
137	184	150
138	186	148
139	187	147
140	188	145
141	190	144
142	191	143
143	192	141
144	193	140
145	195	139
146	196	137
147	197	136
148	199	134
149	200	133
150	201	132
151	203	130
152	204	129
153	205	128
154	207	126
155	208	125
156	209	124
157	211	122
158	212	121
159	213	120
160	214	118
161	216	117
162	217	116
163	219	114
164	220	113
165	221	112
166	223	110
167	224	109
168	225	108
169	227	106
170	228	105
171	229	104
172	230	102
173	232	101
174	233	100
175	235	98
176	236	97
177	237	96
178	239	94
179	240	93
180	241	92
181	242	90
182	244	89
183	245	88
184	246	86
185	248	85
186	249	84
187	250	82
188	252	81
189	253	80
190	254	78
191	256	77
192	257	76
193	258	74
194	260	73
195	261	72
196	262	70
197	263	69
198	265	67
199	266	66
200	268	65
201	269	64
202	270	62
203	271	61
204	273	59
205	274	58
206	275	57
207	277	55
208	278	54
209	279	53
210	281	51
211	282	50
212	284	49
213	285	48
214	286	46
215	287	45
216	288	43
217	290	42
218	291	41
219	292	39
220	294	38
221	295	37
222	296	35
223	298	34
224	299	33
225	300	31
226	302	30
227	303	29
228	304	27
229	305	26
230	307	25
231	308	23
232	309	22
233	311	21
234	312	19
235	313	18
236	315	17
237	316	15
238	317	14
239	319	13
240	320	11
241	321	10
242	323	9
243	324	7
244	326	6
245	327	5
246	328	3
247	330	2
248	331	1
249	332	0
